Instance: tai6_6
Best makespan: 7986
Optimal run time: 458.26 seconds

Makespan history:
Iteration 0: 10355
Iteration 1: 9879
Iteration 2: 9569
Iteration 3: 9374
Iteration 4: 9219
Iteration 5: 9081
Iteration 6: 9048
Iteration 7: 8821
Iteration 8: 8790
Iteration 9: 8778
Iteration 10: 8769
Iteration 11: 8769
Iteration 12: 8753
Iteration 13: 8753
Iteration 14: 8716
Iteration 15: 8502
Iteration 16: 8409
Iteration 17: 8401
Iteration 18: 8372
Iteration 19: 8333
Iteration 20: 8333
Iteration 21: 8333
Iteration 22: 8333
Iteration 23: 8333
Iteration 24: 8333
Iteration 25: 8333
Iteration 26: 8333
Iteration 27: 8333
Iteration 28: 8333
Iteration 29: 8333
Iteration 30: 8333
Iteration 31: 8333
Iteration 32: 8333
Iteration 33: 8333
Iteration 34: 8333
Iteration 35: 8333
Iteration 36: 8333
Iteration 37: 8333
Iteration 38: 8333
Iteration 39: 8333
Iteration 40: 8333
Iteration 41: 8333
Iteration 42: 8333
Iteration 43: 8333
Iteration 44: 8333
Iteration 45: 8333
Iteration 46: 8333
Iteration 47: 8333
Iteration 48: 8333
Iteration 49: 8333
Iteration 50: 8333
Iteration 51: 8333
Iteration 52: 8315
Iteration 53: 8315
Iteration 54: 8315
Iteration 55: 8315
Iteration 56: 8310
Iteration 57: 8310
Iteration 58: 8310
Iteration 59: 8310
Iteration 60: 8310
Iteration 61: 8310
Iteration 62: 8310
Iteration 63: 8310
Iteration 64: 8310
Iteration 65: 8310
Iteration 66: 8310
Iteration 67: 8310
Iteration 68: 8310
Iteration 69: 8310
Iteration 70: 8310
Iteration 71: 8310
Iteration 72: 8310
Iteration 73: 8310
Iteration 74: 8280
Iteration 75: 8240
Iteration 76: 8225
Iteration 77: 8201
Iteration 78: 8201
Iteration 79: 8195
Iteration 80: 8184
Iteration 81: 8184
Iteration 82: 8183
Iteration 83: 8183
Iteration 84: 8183
Iteration 85: 8136
Iteration 86: 8136
Iteration 87: 8136
Iteration 88: 8136
Iteration 89: 8136
Iteration 90: 8136
Iteration 91: 8136
Iteration 92: 8136
Iteration 93: 8136
Iteration 94: 8136
Iteration 95: 8136
Iteration 96: 8136
Iteration 97: 8136
Iteration 98: 8136
Iteration 99: 8135
Iteration 100: 8130
Iteration 101: 8121
Iteration 102: 8074
Iteration 103: 8074
Iteration 104: 8074
Iteration 105: 8074
Iteration 106: 8074
Iteration 107: 8074
Iteration 108: 8051
Iteration 109: 8048
Iteration 110: 8048
Iteration 111: 8048
Iteration 112: 8048
Iteration 113: 8048
Iteration 114: 8048
Iteration 115: 8048
Iteration 116: 8048
Iteration 117: 8048
Iteration 118: 8048
Iteration 119: 8048
Iteration 120: 8048
Iteration 121: 8048
Iteration 122: 8048
Iteration 123: 8048
Iteration 124: 8048
Iteration 125: 8048
Iteration 126: 8048
Iteration 127: 8048
Iteration 128: 8048
Iteration 129: 8048
Iteration 130: 7986
Iteration 131: 7986
Iteration 132: 7986
Iteration 133: 7986
Iteration 134: 7986
Iteration 135: 7986
Iteration 136: 7986
Iteration 137: 7986
Iteration 138: 7986
Iteration 139: 7986
Iteration 140: 7986
Iteration 141: 7986
Iteration 142: 7986
Iteration 143: 7986
Iteration 144: 7986
Iteration 145: 7986
Iteration 146: 7986
Iteration 147: 7986
Iteration 148: 7986
Iteration 149: 7986
