Instance: tai6_6
Best makespan: 7986
Optimal run time: 458.26 seconds

Makespan history:
Iteration 0: 10105
Iteration 1: 9629
Iteration 2: 9319
Iteration 3: 9124
Iteration 4: 8969
Iteration 5: 8831
Iteration 6: 8798
Iteration 7: 8571
Iteration 8: 8540
Iteration 9: 8528
Iteration 10: 8519
Iteration 11: 8519
Iteration 12: 8503
Iteration 13: 8503
Iteration 14: 8466
Iteration 15: 8252
Iteration 16: 8159
Iteration 17: 8151
Iteration 18: 8122
Iteration 19: 8083
Iteration 20: 8083
Iteration 21: 8083
Iteration 22: 8083
Iteration 23: 8083
Iteration 24: 8083
Iteration 25: 8083
Iteration 26: 8083
Iteration 27: 8083
Iteration 28: 8083
Iteration 29: 8083
Iteration 30: 8083
Iteration 31: 8083
Iteration 32: 8083
Iteration 33: 8083
Iteration 34: 8083
Iteration 35: 8083
Iteration 36: 8083
Iteration 37: 8083
Iteration 38: 8083
Iteration 39: 8083
Iteration 40: 8083
Iteration 41: 8083
Iteration 42: 8083
Iteration 43: 8083
Iteration 44: 8083
Iteration 45: 8083
Iteration 46: 8083
Iteration 47: 8083
Iteration 48: 8083
Iteration 49: 8083
Iteration 50: 8083
Iteration 51: 8083
Iteration 52: 8065
Iteration 53: 8065
Iteration 54: 8065
Iteration 55: 8065
Iteration 56: 8060
Iteration 57: 8060
Iteration 58: 8060
Iteration 59: 8060
Iteration 60: 8060
Iteration 61: 8060
Iteration 62: 8060
Iteration 63: 8060
Iteration 64: 8060
Iteration 65: 8060
Iteration 66: 8060
Iteration 67: 8060
Iteration 68: 8060
Iteration 69: 8060
Iteration 70: 8060
Iteration 71: 8060
Iteration 72: 8060
Iteration 73: 8060
Iteration 74: 8030
Iteration 75: 7990
Iteration 76: 7975
Iteration 77: 7951
Iteration 78: 7951
Iteration 79: 7945
Iteration 80: 7934
Iteration 81: 7934
Iteration 82: 7933
Iteration 83: 7933
Iteration 84: 7933
Iteration 85: 7886
Iteration 86: 7886
Iteration 87: 7886
Iteration 88: 7886
Iteration 89: 7886
Iteration 90: 7886
Iteration 91: 7886
Iteration 92: 7886
Iteration 93: 7886
Iteration 94: 7886
Iteration 95: 7886
Iteration 96: 7886
Iteration 97: 7886
Iteration 98: 7886
Iteration 99: 7885
Iteration 100: 7880
Iteration 101: 7871
Iteration 102: 7824
Iteration 103: 7824
Iteration 104: 7824
Iteration 105: 7824
Iteration 106: 7824
Iteration 107: 7824
Iteration 108: 7801
Iteration 109: 7798
Iteration 110: 7798
Iteration 111: 7798
Iteration 112: 7798
Iteration 113: 7798
Iteration 114: 7798
Iteration 115: 7798
Iteration 116: 7798
Iteration 117: 7798
Iteration 118: 7798
Iteration 119: 7798
Iteration 120: 7798
Iteration 121: 7798
Iteration 122: 7798
Iteration 123: 7798
Iteration 124: 7798
Iteration 125: 7798
Iteration 126: 7798
Iteration 127: 7798
Iteration 128: 7798
Iteration 129: 7798
Iteration 130: 7736
Iteration 131: 7736
Iteration 132: 7736
Iteration 133: 7736
Iteration 134: 7736
Iteration 135: 7736
Iteration 136: 7736
Iteration 137: 7736
Iteration 138: 7736
Iteration 139: 7736
Iteration 140: 7736
Iteration 141: 7736
Iteration 142: 7736
Iteration 143: 7736
Iteration 144: 7736
Iteration 145: 7736
Iteration 146: 7736
Iteration 147: 7736
Iteration 148: 7736
Iteration 149: 7736
