Instance: tai6_6
Best makespan: 7986
Optimal run time: 458.26 seconds

Makespan history:
Iteration 0: 10155
Iteration 1: 9679
Iteration 2: 9369
Iteration 3: 9174
Iteration 4: 9019
Iteration 5: 8881
Iteration 6: 8848
Iteration 7: 8621
Iteration 8: 8590
Iteration 9: 8578
Iteration 10: 8569
Iteration 11: 8569
Iteration 12: 8553
Iteration 13: 8553
Iteration 14: 8516
Iteration 15: 8302
Iteration 16: 8209
Iteration 17: 8201
Iteration 18: 8172
Iteration 19: 8133
Iteration 20: 8133
Iteration 21: 8133
Iteration 22: 8133
Iteration 23: 8133
Iteration 24: 8133
Iteration 25: 8133
Iteration 26: 8133
Iteration 27: 8133
Iteration 28: 8133
Iteration 29: 8133
Iteration 30: 8133
Iteration 31: 8133
Iteration 32: 8133
Iteration 33: 8133
Iteration 34: 8133
Iteration 35: 8133
Iteration 36: 8133
Iteration 37: 8133
Iteration 38: 8133
Iteration 39: 8133
Iteration 40: 8133
Iteration 41: 8133
Iteration 42: 8133
Iteration 43: 8133
Iteration 44: 8133
Iteration 45: 8133
Iteration 46: 8133
Iteration 47: 8133
Iteration 48: 8133
Iteration 49: 8133
Iteration 50: 8133
Iteration 51: 8133
Iteration 52: 8115
Iteration 53: 8115
Iteration 54: 8115
Iteration 55: 8115
Iteration 56: 8110
Iteration 57: 8110
Iteration 58: 8110
Iteration 59: 8110
Iteration 60: 8110
Iteration 61: 8110
Iteration 62: 8110
Iteration 63: 8110
Iteration 64: 8110
Iteration 65: 8110
Iteration 66: 8110
Iteration 67: 8110
Iteration 68: 8110
Iteration 69: 8110
Iteration 70: 8110
Iteration 71: 8110
Iteration 72: 8110
Iteration 73: 8110
Iteration 74: 8080
Iteration 75: 8040
Iteration 76: 8025
Iteration 77: 8001
Iteration 78: 8001
Iteration 79: 7995
Iteration 80: 7984
Iteration 81: 7984
Iteration 82: 7983
Iteration 83: 7983
Iteration 84: 7983
Iteration 85: 7936
Iteration 86: 7936
Iteration 87: 7936
Iteration 88: 7936
Iteration 89: 7936
Iteration 90: 7936
Iteration 91: 7936
Iteration 92: 7936
Iteration 93: 7936
Iteration 94: 7936
Iteration 95: 7936
Iteration 96: 7936
Iteration 97: 7936
Iteration 98: 7936
Iteration 99: 7935
Iteration 100: 7930
Iteration 101: 7921
Iteration 102: 7874
Iteration 103: 7874
Iteration 104: 7874
Iteration 105: 7874
Iteration 106: 7874
Iteration 107: 7874
Iteration 108: 7851
Iteration 109: 7848
Iteration 110: 7848
Iteration 111: 7848
Iteration 112: 7848
Iteration 113: 7848
Iteration 114: 7848
Iteration 115: 7848
Iteration 116: 7848
Iteration 117: 7848
Iteration 118: 7848
Iteration 119: 7848
Iteration 120: 7848
Iteration 121: 7848
Iteration 122: 7848
Iteration 123: 7848
Iteration 124: 7848
Iteration 125: 7848
Iteration 126: 7848
Iteration 127: 7848
Iteration 128: 7848
Iteration 129: 7848
Iteration 130: 7786
Iteration 131: 7786
Iteration 132: 7786
Iteration 133: 7786
Iteration 134: 7786
Iteration 135: 7786
Iteration 136: 7786
Iteration 137: 7786
Iteration 138: 7786
Iteration 139: 7786
Iteration 140: 7786
Iteration 141: 7786
Iteration 142: 7786
Iteration 143: 7786
Iteration 144: 7786
Iteration 145: 7786
Iteration 146: 7786
Iteration 147: 7786
Iteration 148: 7786
Iteration 149: 7786
