Instance: tai20_15
Best makespan: 1632
Optimal run time: 20.39 seconds

Makespan history:
Iteration 0: 2427
Iteration 1: 2322
Iteration 2: 2207
Iteration 3: 2098
Iteration 4: 2087
Iteration 5: 2066
Iteration 6: 2066
Iteration 7: 2052
Iteration 8: 2046
Iteration 9: 2017
Iteration 10: 1901
Iteration 11: 1892
Iteration 12: 1892
Iteration 13: 1892
Iteration 14: 1876
Iteration 15: 1863
Iteration 16: 1856
Iteration 17: 1848
Iteration 18: 1839
Iteration 19: 1801
Iteration 20: 1797
Iteration 21: 1764
Iteration 22: 1764
Iteration 23: 1764
Iteration 24: 1764
Iteration 25: 1764
Iteration 26: 1764
Iteration 27: 1764
Iteration 28: 1764
Iteration 29: 1764
Iteration 30: 1764
Iteration 31: 1736
Iteration 32: 1733
Iteration 33: 1723
Iteration 34: 1707
Iteration 35: 1707
Iteration 36: 1707
Iteration 37: 1707
Iteration 38: 1707
Iteration 39: 1707
Iteration 40: 1707
Iteration 41: 1707
Iteration 42: 1707
Iteration 43: 1707
Iteration 44: 1707
Iteration 45: 1707
Iteration 46: 1707
Iteration 47: 1707
Iteration 48: 1707
Iteration 49: 1707
Iteration 50: 1707
Iteration 51: 1707
Iteration 52: 1707
Iteration 53: 1707
Iteration 54: 1707
Iteration 55: 1707
Iteration 56: 1707
Iteration 57: 1707
Iteration 58: 1707
Iteration 59: 1707
Iteration 60: 1707
Iteration 61: 1707
Iteration 62: 1707
Iteration 63: 1707
Iteration 64: 1707
Iteration 65: 1707
Iteration 66: 1707
Iteration 67: 1707
Iteration 68: 1707
Iteration 69: 1707
Iteration 70: 1707
Iteration 71: 1707
Iteration 72: 1707
Iteration 73: 1707
Iteration 74: 1707
Iteration 75: 1707
Iteration 76: 1707
Iteration 77: 1707
Iteration 78: 1707
Iteration 79: 1707
Iteration 80: 1707
Iteration 81: 1707
Iteration 82: 1707
Iteration 83: 1707
Iteration 84: 1707
Iteration 85: 1707
Iteration 86: 1707
Iteration 87: 1707
Iteration 88: 1707
Iteration 89: 1707
Iteration 90: 1707
Iteration 91: 1707
Iteration 92: 1707
Iteration 93: 1707
Iteration 94: 1707
Iteration 95: 1707
Iteration 96: 1707
Iteration 97: 1707
Iteration 98: 1707
Iteration 99: 1706
Iteration 100: 1689
Iteration 101: 1689
Iteration 102: 1689
Iteration 103: 1689
Iteration 104: 1682
Iteration 105: 1675
Iteration 106: 1675
Iteration 107: 1675
Iteration 108: 1675
Iteration 109: 1675
Iteration 110: 1675
Iteration 111: 1675
Iteration 112: 1675
Iteration 113: 1669
Iteration 114: 1665
Iteration 115: 1665
Iteration 116: 1665
Iteration 117: 1665
Iteration 118: 1665
Iteration 119: 1665
Iteration 120: 1661
Iteration 121: 1660
Iteration 122: 1660
Iteration 123: 1643
Iteration 124: 1643
Iteration 125: 1642
Iteration 126: 1639
Iteration 127: 1639
Iteration 128: 1639
Iteration 129: 1639
Iteration 130: 1639
Iteration 131: 1639
Iteration 132: 1639
Iteration 133: 1639
Iteration 134: 1639
Iteration 135: 1639
Iteration 136: 1639
Iteration 137: 1639
Iteration 138: 1632
Iteration 139: 1632
Iteration 140: 1632
Iteration 141: 1632
Iteration 142: 1632
Iteration 143: 1632
Iteration 144: 1632
Iteration 145: 1632
Iteration 146: 1632
Iteration 147: 1632
Iteration 148: 1632
Iteration 149: 1632
